product_id,category,primary_materials,length_cm,width_cm,height_cm,weight_kg,region,season,complexity_score,labour_hours,artisan_hourly_wage_inr,raw_material_cost_inr,calculated_cost_floor_inr,historical_sale_price_inr
CRAFT-1023,Terracotta clay,"Natural clay, Natural colors",29.4,15.2,44.5,2.24,"Kondagaon, Chhattisgarh",Wedding,4,5,120,379.75,980,1707
CRAFT-1024,Dokra bell metal,"Brass, Bell metal, Beeswax",13.5,6.7,37.7,3.57,"Dumka, Jharkhand",Festive,6,38,90,609.53,4030,8529
CRAFT-1025,Terracotta clay,"Natural clay, Natural colors",25.9,17.3,14.7,4.54,"Bastar, Chhattisgarh",Off-season,7,7,60,368.13,788,1513
CRAFT-1026,Tribal handloom,"Cotton, Silk, Organic dyes",150.9,74.4,0.4,1.38,"Bastar, Chhattisgarh",Off-season,6,62,100,2262.88,8463,14589
CRAFT-1027,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",32.9,45.9,40.3,1.08,"Kondagaon, Chhattisgarh",Wedding,8,48,100,301.47,5101,11640
CRAFT-1028,Terracotta clay,"Natural clay, Natural colors",10.2,14.8,37.4,3.61,"Kondagaon, Chhattisgarh",Wedding,6,16,100,288.63,1889,3443
CRAFT-1029,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",46.0,39.9,42.5,8.64,"Dumka, Jharkhand",Festive,5,24,60,857.61,2298,4721
CRAFT-1030,Dokra bell metal,"Brass, Bell metal, Beeswax",7.3,10.5,18.0,1.35,"Bastar, Chhattisgarh",Off-season,10,29,60,1467.61,3208,6206
CRAFT-1031,Bamboo & cane,"Bamboo, Cane, Natural fibers",65.6,30.1,25.2,1.58,"Bastar, Chhattisgarh",Off-season,2,2,90,98.81,279,433
CRAFT-1032,Bamboo & cane,"Bamboo, Cane, Natural fibers",29.7,11.0,27.6,0.7,"Kondagaon, Chhattisgarh",Wedding,7,9,75,285.11,960,2181
CRAFT-1033,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",21.2,47.1,31.4,9.7,"Kondagaon, Chhattisgarh",Monsoon,5,40,100,1163.62,5164,9304
CRAFT-1034,Terracotta clay,"Natural clay, Natural colors",18.8,21.6,52.6,1.93,"Bastar, Chhattisgarh",Festive,8,18,90,134.24,1754,3909
CRAFT-1035,Tribal handloom,"Cotton, Silk, Organic dyes",185.5,56.8,0.3,1.49,"Dumka, Jharkhand",Monsoon,5,63,60,694.18,4474,7438
CRAFT-1036,Bamboo & cane,"Bamboo, Cane, Natural fibers",71.4,39.6,29.4,2.17,"Dumka, Jharkhand",Wedding,2,5,75,139.87,515,869
CRAFT-1037,Terracotta clay,"Natural clay, Natural colors",36.0,37.4,35.6,2.76,"Dumka, Jharkhand",Off-season,6,10,90,335.45,1235,2206
CRAFT-1038,Tribal handloom,"Cotton, Silk, Organic dyes",205.3,105.7,0.5,0.71,"Kondagaon, Chhattisgarh",Festive,8,71,120,1188.72,9709,19009
CRAFT-1039,Bamboo & cane,"Bamboo, Cane, Natural fibers",42.6,31.7,15.0,1.85,"Bastar, Chhattisgarh",Festive,2,14,75,57.63,1108,1732
CRAFT-1040,Terracotta clay,"Natural clay, Natural colors",34.7,20.8,16.4,2.85,"Dumka, Jharkhand",Monsoon,6,11,100,326.4,1426,2191
CRAFT-1041,Bamboo & cane,"Bamboo, Cane, Natural fibers",13.6,31.3,23.9,1.98,"Kondagaon, Chhattisgarh",Monsoon,2,8,90,231.52,952,1506
CRAFT-1042,Tribal handloom,"Cotton, Silk, Organic dyes",177.4,72.6,0.4,0.62,"Mandla, Madhya Pradesh",Monsoon,9,62,100,1321.84,7522,13311
CRAFT-1043,Terracotta clay,"Natural clay, Natural colors",22.3,15.2,17.8,1.63,"Kondagaon, Chhattisgarh",Wedding,4,6,120,255.75,976,1987
CRAFT-1044,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",72.8,21.2,57.7,7.64,"Bastar, Chhattisgarh",Wedding,4,13,120,754.35,2314,4093
CRAFT-1045,Tribal handloom,"Cotton, Silk, Organic dyes",153.4,103.0,0.1,0.44,"Kondagaon, Chhattisgarh",Festive,9,25,75,496.61,2372,4754
CRAFT-1046,Bamboo & cane,"Bamboo, Cane, Natural fibers",69.9,38.1,21.6,0.47,"Bastar, Chhattisgarh",Off-season,5,3,120,172.9,533,850
CRAFT-1047,Terracotta clay,"Natural clay, Natural colors",22.0,28.5,41.8,0.7,"Bastar, Chhattisgarh",Festive,6,15,90,199.88,1550,3021
CRAFT-1048,Terracotta clay,"Natural clay, Natural colors",25.1,35.7,42.9,1.23,"Mandla, Madhya Pradesh",Off-season,5,17,75,102.58,1378,2310
CRAFT-1049,Dokra bell metal,"Brass, Bell metal, Beeswax",28.5,13.6,21.6,2.75,"Dumka, Jharkhand",Wedding,6,15,100,849.9,2350,4716
CRAFT-1050,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",95.3,25.4,58.1,9.15,"Bastar, Chhattisgarh",Festive,8,23,120,395.79,3156,6387
CRAFT-1051,Dokra bell metal,"Brass, Bell metal, Beeswax",6.8,9.8,35.3,0.58,"Kondagaon, Chhattisgarh",Wedding,6,30,90,1277.36,3977,7474
CRAFT-1052,Dokra bell metal,"Brass, Bell metal, Beeswax",8.0,15.5,28.9,3.57,"Kondagaon, Chhattisgarh",Monsoon,10,60,90,1182.09,6582,13050
CRAFT-1053,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",80.0,42.3,59.5,4.71,"Bastar, Chhattisgarh",Wedding,9,16,75,572.02,1772,4112
CRAFT-1054,Dokra bell metal,"Brass, Bell metal, Beeswax",13.5,19.0,35.8,2.0,"Bastar, Chhattisgarh",Festive,10,24,90,1201.05,3361,8804
CRAFT-1055,Dokra bell metal,"Brass, Bell metal, Beeswax",13.0,18.4,21.7,0.54,"Kondagaon, Chhattisgarh",Wedding,7,58,90,1386.46,6606,12789
CRAFT-1056,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",45.5,48.0,57.5,6.16,"Dumka, Jharkhand",Wedding,4,15,100,831.84,2332,4103
CRAFT-1057,Dokra bell metal,"Brass, Bell metal, Beeswax",21.8,16.3,33.7,3.26,"Bastar, Chhattisgarh",Festive,8,23,90,409.45,2479,5081
CRAFT-1058,Terracotta clay,"Natural clay, Natural colors",11.7,26.5,32.1,4.49,"Dumka, Jharkhand",Monsoon,7,5,60,192.29,492,814
CRAFT-1059,Bamboo & cane,"Bamboo, Cane, Natural fibers",53.3,14.0,7.9,2.16,"Kondagaon, Chhattisgarh",Festive,4,11,120,68.19,1388,2688
CRAFT-1060,Terracotta clay,"Natural clay, Natural colors",31.2,12.4,14.2,4.94,"Dumka, Jharkhand",Off-season,3,14,90,199.77,1460,2050
CRAFT-1061,Bamboo & cane,"Bamboo, Cane, Natural fibers",64.4,32.3,19.8,2.74,"Mandla, Madhya Pradesh",Off-season,7,5,60,77.8,378,655
CRAFT-1062,Dokra bell metal,"Brass, Bell metal, Beeswax",5.3,12.0,11.7,0.92,"Dumka, Jharkhand",Off-season,7,25,75,441.03,2316,4295
CRAFT-1063,Tribal handloom,"Cotton, Silk, Organic dyes",244.3,76.2,0.2,1.34,"Bastar, Chhattisgarh",Off-season,7,70,100,869.55,7870,16248
CRAFT-1064,Terracotta clay,"Natural clay, Natural colors",10.4,39.1,12.2,4.51,"Mandla, Madhya Pradesh",Off-season,8,8,100,248.86,1049,2107
CRAFT-1065,Bamboo & cane,"Bamboo, Cane, Natural fibers",77.9,30.9,27.0,2.15,"Dumka, Jharkhand",Off-season,3,15,100,163.64,1664,2452
CRAFT-1066,Dokra bell metal,"Brass, Bell metal, Beeswax",19.6,18.5,11.4,1.48,"Mandla, Madhya Pradesh",Off-season,7,16,75,1440.49,2640,5543
CRAFT-1067,Tribal handloom,"Cotton, Silk, Organic dyes",141.6,63.2,0.3,0.72,"Mandla, Madhya Pradesh",Wedding,5,69,90,1625.68,7836,13424
CRAFT-1068,Dokra bell metal,"Brass, Bell metal, Beeswax",29.4,19.8,30.9,2.38,"Dumka, Jharkhand",Wedding,6,22,90,671.43,2651,5458
CRAFT-1069,Terracotta clay,"Natural clay, Natural colors",37.3,34.7,57.5,3.77,"Mandla, Madhya Pradesh",Festive,3,18,90,276.29,1896,3428
CRAFT-1070,Dokra bell metal,"Brass, Bell metal, Beeswax",28.3,18.0,11.4,0.59,"Dumka, Jharkhand",Festive,9,51,75,751.76,4577,10054
CRAFT-1071,Dokra bell metal,"Brass, Bell metal, Beeswax",29.2,17.6,35.1,2.14,"Bastar, Chhattisgarh",Monsoon,6,48,120,797.78,6558,11296
CRAFT-1072,Terracotta clay,"Natural clay, Natural colors",11.7,35.9,50.6,5.0,"Mandla, Madhya Pradesh",Monsoon,3,15,120,398.92,2199,3249
CRAFT-1073,Dokra bell metal,"Brass, Bell metal, Beeswax",16.3,6.9,38.6,2.62,"Bastar, Chhattisgarh",Wedding,10,34,100,574.37,3974,9919
CRAFT-1074,Dokra bell metal,"Brass, Bell metal, Beeswax",20.5,10.4,13.4,2.85,"Dumka, Jharkhand",Wedding,10,23,75,924.37,2649,6922
CRAFT-1075,Tribal handloom,"Cotton, Silk, Organic dyes",182.8,89.3,0.5,0.78,"Dumka, Jharkhand",Off-season,9,56,90,681.43,5721,9801
CRAFT-1076,Tribal handloom,"Cotton, Silk, Organic dyes",213.3,93.4,0.4,0.56,"Bastar, Chhattisgarh",Wedding,7,33,100,686.38,3986,7981
CRAFT-1077,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",51.4,27.5,55.2,4.13,"Mandla, Madhya Pradesh",Monsoon,7,38,75,713.99,3564,6029
CRAFT-1078,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",51.7,34.9,53.1,9.55,"Dumka, Jharkhand",Off-season,9,15,90,347.07,1697,3176
CRAFT-1079,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",56.7,49.2,34.6,3.96,"Mandla, Madhya Pradesh",Festive,5,29,75,833.4,3008,5546
CRAFT-1080,Terracotta clay,"Natural clay, Natural colors",12.3,13.9,16.4,1.18,"Kondagaon, Chhattisgarh",Festive,3,12,100,124.42,1324,2380
CRAFT-1081,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",91.7,29.0,43.4,2.55,"Bastar, Chhattisgarh",Monsoon,7,50,120,392.29,6392,9648
CRAFT-1082,Terracotta clay,"Natural clay, Natural colors",15.1,18.4,18.9,0.9,"Dumka, Jharkhand",Monsoon,6,12,75,118.6,1019,1661
CRAFT-1083,Bamboo & cane,"Bamboo, Cane, Natural fibers",45.2,37.6,6.4,2.44,"Bastar, Chhattisgarh",Monsoon,3,4,120,206.98,687,885
CRAFT-1084,Tribal handloom,"Cotton, Silk, Organic dyes",231.0,114.5,0.1,0.63,"Bastar, Chhattisgarh",Off-season,5,49,75,2093.02,5768,9577
CRAFT-1085,Tribal handloom,"Cotton, Silk, Organic dyes",155.6,83.9,0.3,0.74,"Mandla, Madhya Pradesh",Monsoon,9,72,120,1371.32,10011,19235
CRAFT-1086,Tribal handloom,"Cotton, Silk, Organic dyes",105.5,67.7,0.4,1.37,"Dumka, Jharkhand",Off-season,8,48,90,1474.52,5795,10546
CRAFT-1087,Terracotta clay,"Natural clay, Natural colors",26.0,17.3,23.5,2.2,"Mandla, Madhya Pradesh",Monsoon,8,12,90,86.42,1166,1949
CRAFT-1088,Tribal handloom,"Cotton, Silk, Organic dyes",131.7,72.9,0.1,1.37,"Bastar, Chhattisgarh",Wedding,6,37,90,1646.54,4977,10450
CRAFT-1089,Dokra bell metal,"Brass, Bell metal, Beeswax",7.2,13.1,27.6,3.11,"Bastar, Chhattisgarh",Off-season,7,29,100,817.99,3718,6486
CRAFT-1090,Terracotta clay,"Natural clay, Natural colors",18.5,20.9,42.3,3.07,"Kondagaon, Chhattisgarh",Festive,6,18,90,193.95,1814,3755
CRAFT-1091,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",28.1,16.1,22.3,2.45,"Dumka, Jharkhand",Monsoon,4,23,100,386.57,2687,4124
CRAFT-1092,Tribal handloom,"Cotton, Silk, Organic dyes",126.0,112.8,0.1,0.93,"Bastar, Chhattisgarh",Monsoon,8,20,90,1261.83,3062,6037
CRAFT-1093,Dokra bell metal,"Brass, Bell metal, Beeswax",29.2,18.0,34.5,1.4,"Dumka, Jharkhand",Monsoon,10,49,120,505.07,6385,12287
CRAFT-1094,Terracotta clay,"Natural clay, Natural colors",37.9,26.7,38.6,1.76,"Dumka, Jharkhand",Off-season,5,18,100,326.24,2126,3115
CRAFT-1095,Bamboo & cane,"Bamboo, Cane, Natural fibers",45.5,19.7,9.0,1.91,"Dumka, Jharkhand",Wedding,7,12,100,122.16,1322,2575
CRAFT-1096,Terracotta clay,"Natural clay, Natural colors",14.6,24.4,36.6,0.73,"Dumka, Jharkhand",Off-season,7,5,100,187.71,688,1175
CRAFT-1097,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",40.4,37.3,48.0,6.36,"Bastar, Chhattisgarh",Festive,9,37,75,671.58,3447,7438
CRAFT-1098,Tribal handloom,"Cotton, Silk, Organic dyes",152.3,115.1,0.4,1.46,"Kondagaon, Chhattisgarh",Festive,7,44,90,661.02,4621,10225
CRAFT-1099,Terracotta clay,"Natural clay, Natural colors",27.2,35.3,17.0,4.08,"Dumka, Jharkhand",Wedding,5,17,90,144.52,1675,3022
CRAFT-1100,Tribal handloom,"Cotton, Silk, Organic dyes",124.6,107.0,0.4,0.93,"Mandla, Madhya Pradesh",Festive,8,21,120,1153.54,3674,9146
CRAFT-1101,Bamboo & cane,"Bamboo, Cane, Natural fibers",40.7,25.1,21.2,1.04,"Mandla, Madhya Pradesh",Off-season,7,3,60,236.9,417,717
CRAFT-1102,Bamboo & cane,"Bamboo, Cane, Natural fibers",26.3,46.0,18.4,1.72,"Kondagaon, Chhattisgarh",Off-season,2,11,75,276.62,1102,1495
CRAFT-1103,Terracotta clay,"Natural clay, Natural colors",14.2,33.8,41.0,2.9,"Kondagaon, Chhattisgarh",Monsoon,8,8,120,366.05,1326,2699
CRAFT-1104,Terracotta clay,"Natural clay, Natural colors",14.6,19.4,22.4,3.85,"Dumka, Jharkhand",Wedding,5,10,120,90.73,1291,2613
CRAFT-1105,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",47.4,42.9,15.5,8.62,"Bastar, Chhattisgarh",Off-season,6,16,120,327.49,2247,3782
CRAFT-1106,Bamboo & cane,"Bamboo, Cane, Natural fibers",65.8,16.0,13.0,2.22,"Mandla, Madhya Pradesh",Monsoon,5,13,75,230.01,1205,2055
CRAFT-1107,Bamboo & cane,"Bamboo, Cane, Natural fibers",27.6,23.8,11.4,2.74,"Kondagaon, Chhattisgarh",Festive,7,14,90,195.85,1456,3287
CRAFT-1108,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",57.0,47.9,17.7,6.28,"Bastar, Chhattisgarh",Festive,6,44,100,705.89,5106,10644
CRAFT-1109,Dokra bell metal,"Brass, Bell metal, Beeswax",22.4,18.8,31.2,1.03,"Bastar, Chhattisgarh",Wedding,6,41,100,991.55,5092,10929
CRAFT-1110,Bamboo & cane,"Bamboo, Cane, Natural fibers",39.7,39.5,37.7,2.79,"Dumka, Jharkhand",Wedding,7,15,100,162.71,1663,3240
CRAFT-1111,Terracotta clay,"Natural clay, Natural colors",27.7,22.0,12.7,2.01,"Dumka, Jharkhand",Off-season,8,13,120,336.91,1897,3280
CRAFT-1112,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",46.7,25.9,36.9,9.28,"Dumka, Jharkhand",Monsoon,7,47,90,546.35,4776,7990
CRAFT-1113,Dokra bell metal,"Brass, Bell metal, Beeswax",10.6,11.8,14.2,1.12,"Kondagaon, Chhattisgarh",Festive,8,43,75,898.04,4123,9598
CRAFT-1114,Tribal handloom,"Cotton, Silk, Organic dyes",237.2,75.4,0.3,1.06,"Dumka, Jharkhand",Wedding,5,51,90,427.5,5018,9968
CRAFT-1115,Terracotta clay,"Natural clay, Natural colors",12.6,39.9,35.1,3.18,"Dumka, Jharkhand",Off-season,5,13,90,101.46,1271,2049
CRAFT-1116,Dokra bell metal,"Brass, Bell metal, Beeswax",10.2,18.5,16.2,1.17,"Mandla, Madhya Pradesh",Festive,10,27,60,343.86,1964,4407
CRAFT-1117,Terracotta clay,"Natural clay, Natural colors",33.3,23.6,36.2,2.48,"Dumka, Jharkhand",Monsoon,7,12,100,208.24,1408,2514
CRAFT-1118,Tribal handloom,"Cotton, Silk, Organic dyes",123.3,62.7,0.4,1.44,"Dumka, Jharkhand",Festive,5,38,75,1183.95,4034,7089
CRAFT-1119,Tribal handloom,"Cotton, Silk, Organic dyes",103.8,60.9,0.4,1.09,"Kondagaon, Chhattisgarh",Wedding,9,43,100,456.9,4757,11052
CRAFT-1120,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",38.5,36.9,11.0,1.94,"Mandla, Madhya Pradesh",Monsoon,9,45,90,999.92,5050,8363
CRAFT-1121,Dokra bell metal,"Brass, Bell metal, Beeswax",7.5,8.6,31.7,3.49,"Dumka, Jharkhand",Wedding,8,31,75,1296.26,3621,8022
CRAFT-1122,Bamboo & cane,"Bamboo, Cane, Natural fibers",56.8,18.2,15.3,2.71,"Kondagaon, Chhattisgarh",Wedding,2,13,120,53.25,1613,2580
CRAFT-1123,Terracotta clay,"Natural clay, Natural colors",22.6,36.8,50.9,2.04,"Kondagaon, Chhattisgarh",Off-season,8,20,90,163.02,1963,3269
CRAFT-1124,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",67.2,20.7,41.2,4.68,"Mandla, Madhya Pradesh",Festive,5,28,75,752.05,2852,5548
CRAFT-1125,Dokra bell metal,"Brass, Bell metal, Beeswax",24.1,7.1,36.1,2.21,"Kondagaon, Chhattisgarh",Wedding,6,60,120,1373.46,8573,18341
CRAFT-1126,Terracotta clay,"Natural clay, Natural colors",22.8,10.7,23.4,2.94,"Mandla, Madhya Pradesh",Festive,3,14,75,282.71,1333,2294
CRAFT-1127,Tribal handloom,"Cotton, Silk, Organic dyes",247.7,86.8,0.2,0.63,"Bastar, Chhattisgarh",Festive,9,38,100,438.62,4239,10286
CRAFT-1128,Tribal handloom,"Cotton, Silk, Organic dyes",117.7,90.4,0.2,0.97,"Dumka, Jharkhand",Wedding,6,23,90,1767.98,3838,8403
CRAFT-1129,Tribal handloom,"Cotton, Silk, Organic dyes",190.1,96.6,0.2,1.4,"Bastar, Chhattisgarh",Festive,8,51,60,1279.42,4339,9711
CRAFT-1130,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",61.5,11.9,18.3,7.64,"Bastar, Chhattisgarh",Off-season,5,46,90,282.8,4423,7111
CRAFT-1131,Bamboo & cane,"Bamboo, Cane, Natural fibers",30.2,24.2,30.2,1.03,"Kondagaon, Chhattisgarh",Festive,6,14,100,191.6,1592,2986
CRAFT-1132,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",73.1,47.5,46.6,2.93,"Kondagaon, Chhattisgarh",Monsoon,7,38,90,231.18,3651,5927
CRAFT-1133,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",59.7,33.9,26.7,7.94,"Dumka, Jharkhand",Wedding,8,49,60,306.6,3247,6528
CRAFT-1134,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",78.3,29.8,44.4,4.91,"Bastar, Chhattisgarh",Off-season,9,23,90,446.4,2516,5206
CRAFT-1135,Bamboo & cane,"Bamboo, Cane, Natural fibers",29.1,33.6,17.6,0.46,"Kondagaon, Chhattisgarh",Off-season,3,10,60,279.33,879,1278
CRAFT-1136,Terracotta clay,"Natural clay, Natural colors",38.5,23.4,19.3,2.94,"Bastar, Chhattisgarh",Monsoon,6,20,90,359.34,2159,3926
CRAFT-1137,Bamboo & cane,"Bamboo, Cane, Natural fibers",58.5,44.0,13.7,1.57,"Kondagaon, Chhattisgarh",Wedding,7,6,100,105.3,705,1718
CRAFT-1138,Bamboo & cane,"Bamboo, Cane, Natural fibers",76.1,11.6,29.7,2.79,"Kondagaon, Chhattisgarh",Wedding,7,11,75,95.14,920,1858
CRAFT-1139,Tribal handloom,"Cotton, Silk, Organic dyes",238.7,118.0,0.5,0.87,"Bastar, Chhattisgarh",Off-season,6,78,90,2210.29,9230,17552
CRAFT-1140,Terracotta clay,"Natural clay, Natural colors",19.6,34.9,11.9,3.18,"Bastar, Chhattisgarh",Festive,4,14,120,153.6,1834,3207
CRAFT-1141,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",47.2,39.0,13.3,3.84,"Mandla, Madhya Pradesh",Monsoon,4,39,90,739.49,4249,6847
CRAFT-1142,Tribal handloom,"Cotton, Silk, Organic dyes",147.8,93.8,0.5,1.04,"Mandla, Madhya Pradesh",Monsoon,8,25,120,889.21,3889,6431
CRAFT-1143,Bamboo & cane,"Bamboo, Cane, Natural fibers",75.7,42.0,39.9,1.18,"Dumka, Jharkhand",Wedding,6,6,60,241.8,602,1261
CRAFT-1144,Bamboo & cane,"Bamboo, Cane, Natural fibers",43.6,35.1,35.6,2.96,"Kondagaon, Chhattisgarh",Festive,7,15,90,242.07,1592,3558
CRAFT-1145,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",39.1,14.4,27.7,3.59,"Bastar, Chhattisgarh",Off-season,7,43,100,496.31,4796,7761
CRAFT-1146,Dokra bell metal,"Brass, Bell metal, Beeswax",6.1,5.3,39.6,2.0,"Kondagaon, Chhattisgarh",Monsoon,9,20,100,761.19,2761,5657
CRAFT-1147,Dokra bell metal,"Brass, Bell metal, Beeswax",28.6,12.0,28.4,1.08,"Dumka, Jharkhand",Wedding,8,57,60,1489.4,4909,10038
CRAFT-1148,Terracotta clay,"Natural clay, Natural colors",38.3,29.5,40.4,2.81,"Mandla, Madhya Pradesh",Monsoon,8,20,90,153.81,1954,3222
CRAFT-1149,Tribal handloom,"Cotton, Silk, Organic dyes",216.9,74.5,0.1,1.46,"Bastar, Chhattisgarh",Monsoon,5,40,90,2255.95,5856,10043
CRAFT-1150,Dokra bell metal,"Brass, Bell metal, Beeswax",29.9,7.6,21.9,3.15,"Bastar, Chhattisgarh",Monsoon,10,15,120,1135.22,2935,5180
CRAFT-1151,Tribal handloom,"Cotton, Silk, Organic dyes",133.6,87.6,0.3,1.0,"Dumka, Jharkhand",Festive,6,53,90,592.12,5362,12065
CRAFT-1152,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",41.2,15.2,54.4,9.6,"Dumka, Jharkhand",Monsoon,4,23,90,1062.13,3132,5360
CRAFT-1153,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",27.0,26.3,28.6,3.34,"Kondagaon, Chhattisgarh",Wedding,7,41,60,923.42,3383,7836
CRAFT-1154,Bamboo & cane,"Bamboo, Cane, Natural fibers",15.7,18.8,28.9,0.41,"Kondagaon, Chhattisgarh",Off-season,4,10,60,262.8,863,1515
CRAFT-1155,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",86.0,23.9,43.9,6.09,"Dumka, Jharkhand",Festive,5,17,100,467.03,2167,4425
CRAFT-1156,Bamboo & cane,"Bamboo, Cane, Natural fibers",65.8,36.3,34.8,2.63,"Kondagaon, Chhattisgarh",Monsoon,7,6,120,227.09,947,1869
CRAFT-1157,Dokra bell metal,"Brass, Bell metal, Beeswax",20.5,16.3,14.8,3.58,"Dumka, Jharkhand",Monsoon,9,30,100,1346.21,4346,7855
CRAFT-1158,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",86.1,15.2,26.8,7.69,"Kondagaon, Chhattisgarh",Monsoon,5,48,120,360.76,6121,10594
